"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"OQ821721","2313","Human","2 (PB2)","","Germany","N","2023/01/30","Influenza B virus (B/Baden-Wurttemberg/USAFSAM-14156/2023)","","","","","","c"
"OQ821722","1749","Human","4 (HA)","","Germany","N","2023/02/15","Influenza B virus (B/Bayern/USAFSAM-14155/2023)","","","","","","c"
"OQ821723","1076","Human","7 (MP)","","Germany","N","2023/02/15","Influenza B virus (B/Bayern/USAFSAM-14155/2023)","","","","","","c"
"OQ821724","1408","Human","6 (NA)","","Germany","N","2023/02/15","Influenza B virus (B/Bayern/USAFSAM-14155/2023)","","","","","","c"
"OQ821725","1683","Human","5 (NP)","","Germany","N","2023/02/15","Influenza B virus (B/Bayern/USAFSAM-14155/2023)","","","","","","c"
"OQ821726","1027","Human","8 (NS)","","Germany","N","2023/02/15","Influenza B virus (B/Bayern/USAFSAM-14155/2023)","","","","","","c"
"OQ821727","2181","Human","3 (PA)","","Germany","N","2023/02/15","Influenza B virus (B/Bayern/USAFSAM-14155/2023)","","","","","","c"
"OQ821728","2259","Human","1 (PB1)","","Germany","N","2023/02/15","Influenza B virus (B/Bayern/USAFSAM-14155/2023)","","","","","","c"
"OQ821729","2313","Human","2 (PB2)","","Germany","N","2023/02/15","Influenza B virus (B/Bayern/USAFSAM-14155/2023)","","","","","","c"
"OQ202335","2367","Human","2 (PB2)","","USA","N","2022/10/04","Influenza B virus (B/California/01/2022)","","","","","","c"
"OQ202336","2340","Human","1 (PB1)","","USA","N","2022/10/04","Influenza B virus (B/California/01/2022)","","","","","","c"
"OQ202337","2275","Human","3 (PA)","","USA","N","2022/10/04","Influenza B virus (B/California/01/2022)","","","","","","c"
"OQ202338","1847","Human","4 (HA)","","USA","N","2022/10/04","Influenza B virus (B/California/01/2022)","","","","","","c"
"OQ202339","1815","Human","5 (NP)","","USA","N","2022/10/04","Influenza B virus (B/California/01/2022)","","","","","","c"
"OQ202340","1528","Human","6 (NA)","","USA","N","2022/10/04","Influenza B virus (B/California/01/2022)","","","","","","c"
"OQ202341","1154","Human","7 (MP)","","USA","N","2022/10/04","Influenza B virus (B/California/01/2022)","","","","","","c"
"OQ202342","1066","Human","8 (NS)","","USA","N","2022/10/04","Influenza B virus (B/California/01/2022)","","","","","","c"
"OQ236628","2367","Human","2 (PB2)","","USA","N","2022/10/12","Influenza B virus (B/California/02/2022)","","","","","","c"
"OQ236629","2340","Human","1 (PB1)","","USA","N","2022/10/12","Influenza B virus (B/California/02/2022)","","","","","","c"
"OQ236630","2275","Human","3 (PA)","","USA","N","2022/10/12","Influenza B virus (B/California/02/2022)","","","","","","c"
"OQ236631","1847","Human","4 (HA)","","USA","N","2022/10/12","Influenza B virus (B/California/02/2022)","","","","","","c"
"OQ236632","1815","Human","5 (NP)","","USA","N","2022/10/12","Influenza B virus (B/California/02/2022)","","","","","","c"
"OQ236633","1528","Human","6 (NA)","","USA","N","2022/10/12","Influenza B virus (B/California/02/2022)","","","","","","c"
"OQ236634","1154","Human","7 (MP)","","USA","N","2022/10/12","Influenza B virus (B/California/02/2022)","","","","","","c"
"OQ236635","1067","Human","8 (NS)","","USA","N","2022/10/12","Influenza B virus (B/California/02/2022)","","","","","","c"
"OQ661636","2340","Human","1 (PB1)","","USA","N","2022/10/12","Influenza B virus (B/California/02/2022)","","","","","","c"
"OQ997434","2367","Human","2 (PB2)","","USA","N","2023/01/04","Influenza B virus (B/California/08/2023)","","","","","","c"
"OQ997435","2340","Human","1 (PB1)","","USA","N","2023/01/04","Influenza B virus (B/California/08/2023)","","","","","","c"
"OQ997436","2275","Human","3 (PA)","","USA","N","2023/01/04","Influenza B virus (B/California/08/2023)","","","","","","c"
"OQ997437","1847","Human","4 (HA)","","USA","N","2023/01/04","Influenza B virus (B/California/08/2023)","","","","","","c"
"OQ997438","1815","Human","5 (NP)","","USA","N","2023/01/04","Influenza B virus (B/California/08/2023)","","","","","","c"
"OQ997439","1528","Human","6 (NA)","","USA","N","2023/01/04","Influenza B virus (B/California/08/2023)","","","","","","c"
"OQ997440","1154","Human","7 (MP)","","USA","N","2023/01/04","Influenza B virus (B/California/08/2023)","","","","","","c"
"OQ997441","1066","Human","8 (NS)","","USA","N","2023/01/04","Influenza B virus (B/California/08/2023)","","","","","","c"
"OQ997442","2367","Human","2 (PB2)","","USA","N","2023/01/18","Influenza B virus (B/California/09/2023)","","","","","","c"
"OQ997443","2340","Human","1 (PB1)","","USA","N","2023/01/18","Influenza B virus (B/California/09/2023)","","","","","","c"
"OQ997444","2275","Human","3 (PA)","","USA","N","2023/01/18","Influenza B virus (B/California/09/2023)","","","","","","c"
"OQ997445","1847","Human","4 (HA)","","USA","N","2023/01/18","Influenza B virus (B/California/09/2023)","","","","","","c"
"OQ997446","1815","Human","5 (NP)","","USA","N","2023/01/18","Influenza B virus (B/California/09/2023)","","","","","","c"
"OQ997447","1529","Human","6 (NA)","","USA","N","2023/01/18","Influenza B virus (B/California/09/2023)","","","","","","c"
"OQ997458","2367","Human","2 (PB2)","","USA","N","2023/02/08","Influenza B virus (B/California/10/2023)","","","","","","c"
"OQ997460","2275","Human","3 (PA)","","USA","N","2023/02/08","Influenza B virus (B/California/10/2023)","","","","","","c"
"OQ997461","1847","Human","4 (HA)","","USA","N","2023/02/08","Influenza B virus (B/California/10/2023)","","","","","","c"
"OQ997463","1528","Human","6 (NA)","","USA","N","2023/02/08","Influenza B virus (B/California/10/2023)","","","","","","c"
"OQ997464","1154","Human","7 (MP)","","USA","N","2023/02/08","Influenza B virus (B/California/10/2023)","","","","","","c"
"OQ202351","2367","Human","2 (PB2)","","USA","N","2022/10/15","Influenza B virus (B/Colorado/01/2022)","","","","","","c"
"OQ202352","2340","Human","1 (PB1)","","USA","N","2022/10/15","Influenza B virus (B/Colorado/01/2022)","","","","","","c"
"OQ202353","2275","Human","3 (PA)","","USA","N","2022/10/15","Influenza B virus (B/Colorado/01/2022)","","","","","","c"
"OQ202354","1847","Human","4 (HA)","","USA","N","2022/10/15","Influenza B virus (B/Colorado/01/2022)","","","","","","c"
"OQ202355","1815","Human","5 (NP)","","USA","N","2022/10/15","Influenza B virus (B/Colorado/01/2022)","","","","","","c"
"OQ202356","1529","Human","6 (NA)","","USA","N","2022/10/15","Influenza B virus (B/Colorado/01/2022)","","","","","","c"
"OQ202357","1154","Human","7 (MP)","","USA","N","2022/10/15","Influenza B virus (B/Colorado/01/2022)","","","","","","c"
"OQ202358","1066","Human","8 (NS)","","USA","N","2022/10/15","Influenza B virus (B/Colorado/01/2022)","","","","","","c"
"OQ997466","2367","Human","2 (PB2)","","USA","N","2023/01/07","Influenza B virus (B/Colorado/01/2023)","","","","","","c"
"OQ997467","2340","Human","1 (PB1)","","USA","N","2023/01/07","Influenza B virus (B/Colorado/01/2023)","","","","","","c"
"OQ997468","2275","Human","3 (PA)","","USA","N","2023/01/07","Influenza B virus (B/Colorado/01/2023)","","","","","","c"
"OQ202374","1066","Human","8 (NS)","","USA","N","2022/10/18","Influenza B virus (B/Colorado/02/2022)","","","","","","c"
"OQ997482","2367","Human","2 (PB2)","","USA","N","2023/02/10","Influenza B virus (B/Colorado/03/2023)","","","","","","c"
"OQ997483","2340","Human","1 (PB1)","","USA","N","2023/02/10","Influenza B virus (B/Colorado/03/2023)","","","","","","c"
"OQ997484","2275","Human","3 (PA)","","USA","N","2023/02/10","Influenza B virus (B/Colorado/03/2023)","","","","","","c"
"OQ997485","1847","Human","4 (HA)","","USA","N","2023/02/10","Influenza B virus (B/Colorado/03/2023)","","","","","","c"
"OQ997488","1154","Human","7 (MP)","","USA","N","2023/02/10","Influenza B virus (B/Colorado/03/2023)","","","","","","c"
"OQ997490","2367","Human","2 (PB2)","","USA","N","2023/02/02","Influenza B virus (B/Colorado/04/2023)","","","","","","c"
"OQ997491","2340","Human","1 (PB1)","","USA","N","2023/02/02","Influenza B virus (B/Colorado/04/2023)","","","","","","c"
"OQ997492","2275","Human","3 (PA)","","USA","N","2023/02/02","Influenza B virus (B/Colorado/04/2023)","","","","","","c"
"OQ997493","1847","Human","4 (HA)","","USA","N","2023/02/02","Influenza B virus (B/Colorado/04/2023)","","","","","","c"
"OQ997495","1528","Human","6 (NA)","","USA","N","2023/02/02","Influenza B virus (B/Colorado/04/2023)","","","","","","c"
"OQ997496","1154","Human","7 (MP)","","USA","N","2023/02/02","Influenza B virus (B/Colorado/04/2023)","","","","","","c"
"OQ236652","2367","Human","2 (PB2)","","USA","N","2022/10/31","Influenza B virus (B/Colorado/05/2022)","","","","","","c"
"OQ236653","2340","Human","1 (PB1)","","USA","N","2022/10/31","Influenza B virus (B/Colorado/05/2022)","","","","","","c"
"OQ236655","1847","Human","4 (HA)","","USA","N","2022/10/31","Influenza B virus (B/Colorado/05/2022)","","","","","","c"
"OQ236656","1815","Human","5 (NP)","","USA","N","2022/10/31","Influenza B virus (B/Colorado/05/2022)","","","","","","c"
"OQ236657","1528","Human","6 (NA)","","USA","N","2022/10/31","Influenza B virus (B/Colorado/05/2022)","","","","","","c"
"OQ236658","1154","Human","7 (MP)","","USA","N","2022/10/31","Influenza B virus (B/Colorado/05/2022)","","","","","","c"
"OQ236659","1066","Human","8 (NS)","","USA","N","2022/10/31","Influenza B virus (B/Colorado/05/2022)","","","","","","c"
"OQ997506","2367","Human","2 (PB2)","","USA","N","2023/02/14","Influenza B virus (B/Colorado/05/2023)","","","","","","c"
"OQ997507","2341","Human","1 (PB1)","","USA","N","2023/02/14","Influenza B virus (B/Colorado/05/2023)","","","","","","c"
"OQ997508","2275","Human","3 (PA)","","USA","N","2023/02/14","Influenza B virus (B/Colorado/05/2023)","","","","","","c"
"OQ997511","1528","Human","6 (NA)","","USA","N","2023/02/14","Influenza B virus (B/Colorado/05/2023)","","","","","","c"
"OQ997523","2340","Human","1 (PB1)","","USA","N","2022/12/31","Influenza B virus (B/Colorado/06/2022)","","","","","","c"
"OQ997525","1847","Human","4 (HA)","","USA","N","2022/12/31","Influenza B virus (B/Colorado/06/2022)","","","","","","c"
"OQ997526","1815","Human","5 (NP)","","USA","N","2022/12/31","Influenza B virus (B/Colorado/06/2022)","","","","","","c"
"OQ997527","1528","Human","6 (NA)","","USA","N","2022/12/31","Influenza B virus (B/Colorado/06/2022)","","","","","","c"
"OQ997529","1066","Human","8 (NS)","","USA","N","2022/12/31","Influenza B virus (B/Colorado/06/2022)","","","","","","c"
"OQ997413","2341","Human","1 (PB1)","","USA","N","2023/02/21","Influenza B virus (B/Colorado/07/2023)","","","","","","c"
"OQ997415","1792","Human","5 (NP)","","USA","N","2023/02/21","Influenza B virus (B/Colorado/07/2023)","","","","","","c"
"OQ997416","1154","Human","7 (MP)","","USA","N","2023/02/21","Influenza B virus (B/Colorado/07/2023)","","","","","","c"
"OQ244852","1847","Human","4 (HA)","","USA","N","2022/08/26","Influenza B virus (B/Delaware/01/2022)","","","","","","c"
"OQ244853","1154","Human","7 (MP)","","USA","N","2022/08/26","Influenza B virus (B/Delaware/01/2022)","","","","","","c"
"OQ244854","1066","Human","8 (NS)","","USA","N","2022/08/26","Influenza B virus (B/Delaware/01/2022)","","","","","","c"
"OQ244855","2367","Human","2 (PB2)","","USA","N","2022/08/26","Influenza B virus (B/Delaware/01/2022)","","","","","","c"
"OQ244856","2340","Human","1 (PB1)","","USA","N","2022/08/26","Influenza B virus (B/Delaware/01/2022)","","","","","","c"
"OQ244857","2275","Human","3 (PA)","","USA","N","2022/08/26","Influenza B virus (B/Delaware/01/2022)","","","","","","c"
"OQ244858","1847","Human","4 (HA)","","USA","N","2022/08/26","Influenza B virus (B/Delaware/01/2022)","","","","","","c"
"OQ244859","1815","Human","5 (NP)","","USA","N","2022/08/26","Influenza B virus (B/Delaware/01/2022)","","","","","","c"
"OQ244860","1528","Human","6 (NA)","","USA","N","2022/08/26","Influenza B virus (B/Delaware/01/2022)","","","","","","c"
"OQ244861","1154","Human","7 (MP)","","USA","N","2022/08/26","Influenza B virus (B/Delaware/01/2022)","","","","","","c"
"OQ997538","2367","Human","2 (PB2)","","USA","N","2023/01/04","Influenza B virus (B/Delaware/01/2023)","","","","","","c"
"OQ997539","2340","Human","1 (PB1)","","USA","N","2023/01/04","Influenza B virus (B/Delaware/01/2023)","","","","","","c"
"OQ997540","2275","Human","3 (PA)","","USA","N","2023/01/04","Influenza B virus (B/Delaware/01/2023)","","","","","","c"
"OQ997541","1847","Human","4 (HA)","","USA","N","2023/01/04","Influenza B virus (B/Delaware/01/2023)","","","","","","c"
"OQ997542","1815","Human","5 (NP)","","USA","N","2023/01/04","Influenza B virus (B/Delaware/01/2023)","","","","","","c"
"OQ997543","1529","Human","6 (NA)","","USA","N","2023/01/04","Influenza B virus (B/Delaware/01/2023)","","","","","","c"
"OQ997544","1154","Human","7 (MP)","","USA","N","2023/01/04","Influenza B virus (B/Delaware/01/2023)","","","","","","c"
"OQ997546","2367","Human","2 (PB2)","","USA","N","2023/01/25","Influenza B virus (B/Delaware/02/2023)","","","","","","c"
"OQ997547","2340","Human","1 (PB1)","","USA","N","2023/01/25","Influenza B virus (B/Delaware/02/2023)","","","","","","c"
"OQ997548","2275","Human","3 (PA)","","USA","N","2023/01/25","Influenza B virus (B/Delaware/02/2023)","","","","","","c"
"OQ997549","1847","Human","4 (HA)","","USA","N","2023/01/25","Influenza B virus (B/Delaware/02/2023)","","","","","","c"
"OQ997550","1815","Human","5 (NP)","","USA","N","2023/01/25","Influenza B virus (B/Delaware/02/2023)","","","","","","c"
"OQ997552","1154","Human","7 (MP)","","USA","N","2023/01/25","Influenza B virus (B/Delaware/02/2023)","","","","","","c"
"OQ997553","1066","Human","8 (NS)","","USA","N","2023/01/25","Influenza B virus (B/Delaware/02/2023)","","","","","","c"
"OQ997554","2367","Human","2 (PB2)","","USA","N","2023/02/12","Influenza B virus (B/Delaware/03/2023)","","","","","","c"
"OQ997555","2340","Human","1 (PB1)","","USA","N","2023/02/12","Influenza B virus (B/Delaware/03/2023)","","","","","","c"
"OQ997556","2275","Human","3 (PA)","","USA","N","2023/02/12","Influenza B virus (B/Delaware/03/2023)","","","","","","c"
"OQ997557","1847","Human","4 (HA)","","USA","N","2023/02/12","Influenza B virus (B/Delaware/03/2023)","","","","","","c"
"OQ997558","1815","Human","5 (NP)","","USA","N","2023/02/12","Influenza B virus (B/Delaware/03/2023)","","","","","","c"
"OQ997559","1528","Human","6 (NA)","","USA","N","2023/02/12","Influenza B virus (B/Delaware/03/2023)","","","","","","c"
"OQ997560","1154","Human","7 (MP)","","USA","N","2023/02/12","Influenza B virus (B/Delaware/03/2023)","","","","","","c"
"OQ997561","1066","Human","8 (NS)","","USA","N","2023/02/12","Influenza B virus (B/Delaware/03/2023)","","","","","","c"
"OQ997562","2367","Human","2 (PB2)","","USA","N","2023/02/27","Influenza B virus (B/Delaware/04/2023)","","","","","","c"
"OQ997564","2275","Human","3 (PA)","","USA","N","2023/02/27","Influenza B virus (B/Delaware/04/2023)","","","","","","c"
"OQ997568","1154","Human","7 (MP)","","USA","N","2023/02/27","Influenza B virus (B/Delaware/04/2023)","","","","","","c"
"OQ997571","2340","Human","1 (PB1)","","USA","N","2023/03/02","Influenza B virus (B/Delaware/05/2023)","","","","","","c"
"OQ997572","2275","Human","3 (PA)","","USA","N","2023/03/02","Influenza B virus (B/Delaware/05/2023)","","","","","","c"
"OQ997574","1815","Human","5 (NP)","","USA","N","2023/03/02","Influenza B virus (B/Delaware/05/2023)","","","","","","c"
"OQ997575","1528","Human","6 (NA)","","USA","N","2023/03/02","Influenza B virus (B/Delaware/05/2023)","","","","","","c"
"OQ661659","2367","Human","2 (PB2)","","USA","N","2022/12/26","Influenza B virus (B/District Of Columbia/01/2022)","","","","","","c"
"OQ661660","2340","Human","1 (PB1)","","USA","N","2022/12/26","Influenza B virus (B/District Of Columbia/01/2022)","","","","","","c"
"OQ661661","2275","Human","3 (PA)","","USA","N","2022/12/26","Influenza B virus (B/District Of Columbia/01/2022)","","","","","","c"
"OQ661662","1847","Human","4 (HA)","","USA","N","2022/12/26","Influenza B virus (B/District Of Columbia/01/2022)","","","","","","c"
"OQ661664","1529","Human","6 (NA)","","USA","N","2022/12/26","Influenza B virus (B/District Of Columbia/01/2022)","","","","","","c"
"OQ661665","1154","Human","7 (MP)","","USA","N","2022/12/26","Influenza B virus (B/District Of Columbia/01/2022)","","","","","","c"
"OQ997578","2367","Human","2 (PB2)","","USA","N","2023/02/27","Influenza B virus (B/District Of Columbia/01/2023)","","","","","","c"
"OQ997579","2340","Human","1 (PB1)","","USA","N","2023/02/27","Influenza B virus (B/District Of Columbia/01/2023)","","","","","","c"
"OQ997580","2275","Human","3 (PA)","","USA","N","2023/02/27","Influenza B virus (B/District Of Columbia/01/2023)","","","","","","c"
"OQ997582","1815","Human","5 (NP)","","USA","N","2023/02/27","Influenza B virus (B/District Of Columbia/01/2023)","","","","","","c"
"OQ997583","1528","Human","6 (NA)","","USA","N","2023/02/27","Influenza B virus (B/District Of Columbia/01/2023)","","","","","","c"
"OQ997584","1154","Human","7 (MP)","","USA","N","2023/02/27","Influenza B virus (B/District Of Columbia/01/2023)","","","","","","c"
"OQ997586","2365","Human","2 (PB2)","","USA","N","2023/03/02","Influenza B virus (B/District Of Columbia/02/2023)","","","","","","c"
"OQ997587","2340","Human","1 (PB1)","","USA","N","2023/03/02","Influenza B virus (B/District Of Columbia/02/2023)","","","","","","c"
"OQ997590","1815","Human","5 (NP)","","USA","N","2023/03/02","Influenza B virus (B/District Of Columbia/02/2023)","","","","","","c"
"OQ997601","2367","Human","2 (PB2)","","USA","N","2023/03/03","Influenza B virus (B/District Of Columbia/03/2023)","","","","","","c"
"OQ997602","2340","Human","1 (PB1)","","USA","N","2023/03/03","Influenza B virus (B/District Of Columbia/03/2023)","","","","","","c"
"OQ997603","2275","Human","3 (PA)","","USA","N","2023/03/03","Influenza B virus (B/District Of Columbia/03/2023)","","","","","","c"
"OQ997604","1847","Human","4 (HA)","","USA","N","2023/03/03","Influenza B virus (B/District Of Columbia/03/2023)","","","","","","c"
"OQ997605","1814","Human","5 (NP)","","USA","N","2023/03/03","Influenza B virus (B/District Of Columbia/03/2023)","","","","","","c"
"OQ997606","1528","Human","6 (NA)","","USA","N","2023/03/03","Influenza B virus (B/District Of Columbia/03/2023)","","","","","","c"
"OQ997607","1154","Human","7 (MP)","","USA","N","2023/03/03","Influenza B virus (B/District Of Columbia/03/2023)","","","","","","c"
"OQ997608","1066","Human","8 (NS)","","USA","N","2023/03/03","Influenza B virus (B/District Of Columbia/03/2023)","","","","","","c"
"OQ661667","2367","Human","2 (PB2)","","USA","N","2022/12/07","Influenza B virus (B/Florida/01/2022)","","","","","","c"
"OQ661668","2340","Human","1 (PB1)","","USA","N","2022/12/07","Influenza B virus (B/Florida/01/2022)","","","","","","c"
"OQ661669","2275","Human","3 (PA)","","USA","N","2022/12/07","Influenza B virus (B/Florida/01/2022)","","","","","","c"
"OQ661670","1847","Human","4 (HA)","","USA","N","2022/12/07","Influenza B virus (B/Florida/01/2022)","","","","","","c"
"OQ661671","1815","Human","5 (NP)","","USA","N","2022/12/07","Influenza B virus (B/Florida/01/2022)","","","","","","c"
"OQ661672","1528","Human","6 (NA)","","USA","N","2022/12/07","Influenza B virus (B/Florida/01/2022)","","","","","","c"
"OQ661673","1154","Human","7 (MP)","","USA","N","2022/12/07","Influenza B virus (B/Florida/01/2022)","","","","","","c"
"OQ661674","1066","Human","8 (NS)","","USA","N","2022/12/07","Influenza B virus (B/Florida/01/2022)","","","","","","c"
"OQ661675","2367","Human","2 (PB2)","","USA","N","2022/12/07","Influenza B virus (B/Florida/01/2022)","","","","","","c"
"OQ997620","1847","Human","4 (HA)","","USA","N","2023/01/19","Influenza B virus (B/Florida/01/2023)","","","","","","c"
"OQ997622","1528","Human","6 (NA)","","USA","N","2023/01/19","Influenza B virus (B/Florida/01/2023)","","","","","","c"
"OQ997623","1154","Human","7 (MP)","","USA","N","2023/01/19","Influenza B virus (B/Florida/01/2023)","","","","","","c"
"OQ997624","1067","Human","8 (NS)","","USA","N","2023/01/19","Influenza B virus (B/Florida/01/2023)","","","","","","c"
"OQ661682","2367","Human","2 (PB2)","","USA","N","2022/11/16","Influenza B virus (B/Florida/02/2022)","","","","","","c"
"OQ661683","2340","Human","1 (PB1)","","USA","N","2022/11/16","Influenza B virus (B/Florida/02/2022)","","","","","","c"
"OQ661684","2275","Human","3 (PA)","","USA","N","2022/11/16","Influenza B virus (B/Florida/02/2022)","","","","","","c"
"OQ661685","1847","Human","4 (HA)","","USA","N","2022/11/16","Influenza B virus (B/Florida/02/2022)","","","","","","c"
"OQ661686","1815","Human","5 (NP)","","USA","N","2022/11/16","Influenza B virus (B/Florida/02/2022)","","","","","","c"
"OQ661687","1528","Human","6 (NA)","","USA","N","2022/11/16","Influenza B virus (B/Florida/02/2022)","","","","","","c"
"OQ661689","1067","Human","8 (NS)","","USA","N","2022/11/16","Influenza B virus (B/Florida/02/2022)","","","","","","c"
"OQ661690","2367","Human","2 (PB2)","","USA","N","2022/11/16","Influenza B virus (B/Florida/02/2022)","","","","","","c"
"OQ661691","2275","Human","3 (PA)","","USA","N","2022/11/16","Influenza B virus (B/Florida/02/2022)","","","","","","c"
"OQ661695","1154","Human","7 (MP)","","USA","N","2022/11/16","Influenza B virus (B/Florida/02/2022)","","","","","","c"
"OQ821730","1749","Human","4 (HA)","","Italy","N","2023/02/17","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14157/2023)","","","","","","c"
"OQ821731","1076","Human","7 (MP)","","Italy","N","2023/02/17","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14157/2023)","","","","","","c"
"OQ821732","1408","Human","6 (NA)","","Italy","N","2023/02/17","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14157/2023)","","","","","","c"
"OQ821733","1683","Human","5 (NP)","","Italy","N","2023/02/17","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14157/2023)","","","","","","c"
"OQ821734","1027","Human","8 (NS)","","Italy","N","2023/02/17","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14157/2023)","","","","","","c"
"OQ821735","2181","Human","3 (PA)","","Italy","N","2023/02/17","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14157/2023)","","","","","","c"
"OQ821736","2259","Human","1 (PB1)","","Italy","N","2023/02/17","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14157/2023)","","","","","","c"
"OQ821737","2313","Human","2 (PB2)","","Italy","N","2023/02/17","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14157/2023)","","","","","","c"
"OQ821738","1749","Human","4 (HA)","","Italy","N","2023/02/21","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14158/2023)","","","","","","c"
"OQ821739","1076","Human","7 (MP)","","Italy","N","2023/02/21","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14158/2023)","","","","","","c"
"OQ821740","1408","Human","6 (NA)","","Italy","N","2023/02/21","Influenza B virus (B/Friuli-Venezia Giulia/USAFSAM-14158/2023)","","","","","","c"
